dropoff_longitude,pickup_longitude,pickup_latitude,dropoff_latitude
-73.978134,-74.005714,40.750938,40.752934
-73.984337,-73.971405,40.74992,40.763615
-73.959618,-73.959618,40.773975,40.773975
-73.95552099999999,-73.98380999999999,40.755390000000006,40.773365000000005
-74.00301400000001,-73.862915,40.769119,40.707446999999995
-73.981377,-73.966911,40.756859000000006,40.737164
-73.978622,-73.963181,40.798916,40.720112
-73.96144100000001,-73.952003,40.781326,40.811295
-73.983482,-73.967926,40.771267,40.749828
-73.948753,-73.980583,40.764862,40.773567
-74.001724,-73.9823,40.75478,40.740840999999996
-73.951195,-73.996071,40.753792,40.810097
-73.978615,-73.970375,40.764378,40.782936
-73.982132,-73.984619,40.742908,40.778191
-73.973816,-73.981667,40.732620000000004,40.748276000000004
-73.98850300000001,-73.999374,40.726578,40.73151
-73.937439,-73.937439,40.758251,40.758251
-73.954491,-73.98786199999999,40.757069,40.769886
-73.968597,-73.982529,40.775082,40.788231
-74.01649499999999,-73.990379,40.758888,40.716183
-73.978325,-73.986145,40.740093,40.751419
-73.99515500000001,-73.978317,40.751011,40.732548
-73.985443,-73.991791,40.756039,40.762173
-73.99299599999999,-74.003967,40.738178000000005,40.737423
-73.999771,-74.00709499999999,40.734119,40.740284
-74.003838,-73.985336,40.736046,40.739403
-73.95871,-73.98221600000001,40.763126,40.783867
-73.945229,-73.958405,40.778702,40.788483
-73.989769,-74.015388,40.709896,40.740765
-73.98496999999999,-73.982025,40.767475,40.760464
-73.951851,-73.95491,40.777668,40.786266
-73.99237099999999,-73.865662,40.770454,40.735565
-73.985001,-73.989693,40.702228999999996,40.728103999999995
-73.959595,-73.979141,40.762718,40.773998
-74.002075,-73.985443,40.755775,40.761261
-73.981117,-73.973511,40.764835,40.768726
-73.95211,-73.98204,40.750336,40.777542
-73.968887,-73.991005,40.751591,40.752632
-73.991714,-73.970291,40.794949,40.758053000000004
-73.95395699999999,-73.970039,40.762112,40.778835
-73.99503299999999,-73.99054,40.737010999999995,40.760128
-73.989906,-74.002243,40.728176,40.754993
-73.998962,-73.968086,40.762710999999996,40.723091
-73.982079,-74.008156,40.725941,40.777996
